,ch1,ch2,ch3,ch4,energies
1028,0.0017439531614254176,0.0013589153113851584,0.0012334485414155203,0.00034410832444890983,963211.070234167
1029,0.008706892869497255,0.0076457223370274075,0.006675829281692466,0.0026522846075293367,77228.13571388813
1030,0.008178600499432172,0.007531683796964007,0.006434584004402085,0.0025887073707461876,77228.13571388819
1031,0.0024219001255095093,0.0020460125473880084,0.0019142604947980212,0.0006331059491234825,498332.77591973206
1032,0.001873327532621058,0.0015148002855159732,0.001193349353151105,0.00033384198202849566,989966.655518448
1033,0.0028440674709428746,0.0024029859743043953,0.0021502841514890432,0.0006797110081888486,391310.4347826192
1034,0.0,0.0,0.0,0.0,19.524555810168607
1035,0.0018830610090975726,0.0013666707132550856,0.0013807024079268526,0.00036788618577257744,852844.2809364543
1036,0.03694642958006055,0.020748699224223132,0.028288214156393633,0.005367435726082359,8050.29181229599
1037,0.010036168958241097,0.008975692120803284,0.008057032837625086,0.003059851993897969,61316.188447958084
1038,0.009605251115844612,0.008651133419556015,0.007451316498998743,0.0029104285321774337,65710.57546036362
1039,0.0017585095273055002,0.0013951173007120553,0.0012371049150967214,0.00035321200894254835,916388.795986661
1040,0.002223621604995401,0.0017953814944976802,0.0016244029433933442,0.0004378627853359652,635455.1505016704
1041,0.0019165700491467574,0.0015049265018829037,0.0013177706054110147,0.00034765269280707543,896322.1070234337
1042,0.0025828169753299196,0.001975118725656425,0.0017590007105059624,0.00047611030741058567,555188.3946488228
1043,0.055747266765593606,0.026471129580003493,0.04552030714063094,0.00519702118406315,2850.4263208534376
1044,0.0031007693619962444,0.002651871625952852,0.00219239154861527,0.0007940677887300962,397999.33110368694
1045,0.003335973627223003,0.002650811468797898,0.002347623486150393,0.0008622295268997103,322862.82025368814
1046,0.0035545224854937716,0.0031654803421225335,0.00280119127006322,0.0009924731625997273,274254.74916389846
1047,0.010569811390105217,0.009452748027770751,0.008125778765595547,0.0031723774135082807,56865.6187290972
1048,0.09140716452214785,0.0335935194620015,0.07718970957781354,0.006056423870100029,132.5087291997954
